,hip1,,hip2,,hip3,,femur1,,femur2,,femur3,,tibia1,,tibia2,,tibia3,
Time,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.666667,0.130412,2.906148,0.131376,2.835436,0.137353,2.710663,0.146891,2.335666,0.15453,2.023975,0.161345,1.758466,0.187792,1.346848,0.275079,1.023845,0.386725,0.649235
0.675,0.126078,2.904876,0.131387,2.835337,0.136999,2.710873,0.146927,2.33552,0.154662,2.023901,0.161552,1.758355,0.188295,1.346994,0.275903,1.02406,0.387978,0.649927
0.683333,0.130787,2.905993,0.131187,2.83531,0.137288,2.710393,0.14696,2.335361,0.154828,2.02373,0.161762,1.758196,0.188844,1.347144,0.27675,1.024197,0.38914,0.650257
0.691667,0.130814,2.906007,0.136309,2.831074,0.137231,2.710262,0.146962,2.33525,0.154931,2.023647,0.16198,1.758074,0.189408,1.347329,0.277594,1.024327,0.390436,0.650694
0.7,0.130771,2.906036,0.132724,2.833939,0.137175,2.710227,0.146954,2.335236,0.155033,2.023638,0.162222,1.758003,0.190042,1.347659,0.278528,1.024621,0.391771,0.651118
0.708333,0.130587,2.90599,0.131054,2.835383,0.137184,2.710256,0.146958,2.335271,0.155125,2.023666,0.162471,1.758046,0.190593,1.348027,0.279518,1.025007,0.393128,0.651721
0.716667,0.130618,2.906032,0.136064,2.831123,0.137183,2.710359,0.146997,2.335281,0.155299,2.023768,0.162693,1.758074,0.191129,1.348417,0.280484,1.025517,0.394405,0.652261
0.725,0.130625,2.906084,0.131045,2.835445,0.137128,2.710463,0.147033,2.33541,0.155439,2.023911,0.162948,1.758216,0.191691,1.34881,0.281422,1.026179,0.395787,0.652813
0.733333,0.125864,2.904794,0.135985,2.831144,0.137073,2.710487,0.147051,2.335479,0.1556,2.024035,0.163144,1.758268,0.192147,1.34914,0.28228,1.026711,0.397123,0.653527
0.741667,0.125883,2.904933,0.13095,2.835403,0.136737,2.710908,0.147004,2.335514,0.15577,2.024081,0.163309,1.758339,0.192688,1.349421,0.283095,1.027161,0.39852,0.65419
0.75,0.125827,2.904947,0.129985,2.837618,0.136687,2.710957,0.146953,2.335584,0.155928,2.024142,0.163449,1.758386,0.193261,1.349721,0.284073,1.027651,0.399913,0.654937
