femur 1		femur 4		tibia 1		tibia4	
X	Y	X	Y	X	Y	X	Y
1.516566	1.332869	1.539118	0.933657	1.670747	0.852715	1.961417	0.829825
1.516581	1.33284	1.539178	0.933632	1.670739	0.85345	1.961611	0.831999
1.516579	1.332841	1.539241	0.933646	1.670713	0.854226	1.961672	0.834252
1.516582	1.332833	1.539299	0.933642	1.670684	0.854971	1.961783	0.836458
1.516589	1.332839	1.539367	0.933641	1.670728	0.85585	1.961861	0.838793
1.516607	1.332849	1.539428	0.933646	1.670742	0.856657	1.961956	0.841101
1.516625	1.332852	1.53953	0.933665	1.670745	0.857356	1.96199	0.843523
1.51662	1.332866	1.5396	0.933656	1.670721	0.858166	1.962065	0.845899
1.516632	1.332883	1.53968	0.933669	1.670689	0.859019	1.962123	0.848408
1.51666	1.332883	1.539751	0.933688	1.670678	0.859871	1.962124	0.850833
1.516681	1.332895	1.539816	0.933686	1.670641	0.860793	1.962138	0.85344
1.516697	1.332908	1.53988	0.933696	1.670599	0.861718	1.962143	0.856059
1.516698	1.332897	1.539944	0.933712	1.670559	0.862453	1.962142	0.858717
1.516718	1.332897	1.539989	0.933688	1.670537	0.863247	1.962149	0.86149
1.516737	1.332901	1.540017	0.933695	1.67049	0.864223	1.962017	0.864198
1.51674	1.33286	1.540056	0.933686	1.670434	0.865143	1.962037	0.866973
1.516741	1.332855	1.540095	0.933665	1.670328	0.866013	1.96192	0.870006
1.51676	1.332838	1.540093	0.933638	1.670201	0.866861	1.961731	0.872787
1.51678	1.332843	1.540098	0.93366	1.670079	0.867764	1.961583	0.875753
1.516766	1.332836	1.540089	0.933649	1.669939	0.868701	1.96135	0.878844
1.51677	1.332864	1.540064	0.93367	1.669794	0.869775	1.96112	0.881806
1.516776	1.332888	1.540038	0.933701	1.669648	0.870724	1.960914	0.884953
1.516792	1.332921	1.54	0.933724	1.669454	0.871532	1.960567	0.887984
1.516763	1.332955	1.53996	0.933745	1.66921	0.872589	1.960231	0.890981
1.516753	1.332962	1.5399	0.93378	1.668973	0.8736	1.959883	0.894186
1.516755	1.332952	1.539852	0.933761	1.668796	0.874458	1.959463	0.89722
1.516782	1.332942	1.539775	0.933756	1.668553	0.875404	1.959093	0.900222
1.516765	1.332901	1.539706	0.93371	1.668345	0.876331	1.958692	0.90328
1.516742	1.332915	1.539656	0.933707	1.668149	0.877184	1.958252	0.906191
1.516761	1.332861	1.539599	0.933667	1.667926	0.878002	1.957803	0.909208
1.516769	1.332865	1.539538	0.933674	1.667618	0.878981	1.957313	0.91215
1.516751	1.332858	1.539503	0.933672	1.667398	0.8799	1.956802	0.915068
1.516729	1.332876	1.539472	0.93366	1.66719	0.880769	1.956349	0.917917
1.516734	1.332878	1.53945	0.933671	1.666946	0.88167	1.95588	0.920708
1.516753	1.332913	1.539449	0.933718	1.6667	0.882723	1.955383	0.923619
1.51674	1.332933	1.539471	0.933744	1.666507	0.883605	1.954913	0.926396
1.51673	1.332983	1.539501	0.933779	1.666287	0.884508	1.954408	0.929172
1.516746	1.33298	1.53957	0.933773	1.666117	0.88543	1.953926	0.931899
1.516768	1.332965	1.539629	0.933781	1.665985	0.886246	1.953512	0.934587
1.516757	1.332939	1.539731	0.933742	1.665787	0.887138	1.952996	0.937201
1.51675	1.332925	1.539788	0.933741	1.6656	0.888019	1.952568	0.939845
1.516768	1.332901	1.539884	0.933712	1.665441	0.888767	1.952024	0.942422
1.516793	1.332892	1.539944	0.933719	1.665256	0.88962	1.951566	0.945067
1.516783	1.332857	1.540028	0.933693	1.665049	0.890522	1.951062	0.947523
1.516779	1.332861	1.540099	0.9337	1.664892	0.891328	1.950539	0.950246
1.516804	1.332866	1.540128	0.933693	1.66466	0.892138	1.949852	0.952752
1.516815	1.332896	1.540157	0.93373	1.664374	0.89302	1.949317	0.955303
1.516798	1.332912	1.540167	0.933732	1.664172	0.893771	1.94866	0.957834
1.516793	1.332928	1.540159	0.933768	1.66392	0.894476	1.948	0.96037
1.516798	1.332933	1.540127	0.933793	1.6636	0.895391	1.947281	0.962886
